erd1qqqqqqqqqqqqqpgqm7zghukqr9rhdvfxsa6q8d0wwumnknga0n4s8khtfn: ['PMS-f2b71f', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqmj807dvlfh0tvmgf5ztx0t79xn8nfct60n4sw0d6vy: ['HTM-23a1da', 'USDC-350c4e']
erd1qqqqqqqqqqqqqpgqmpmf938v4247pu2jjzxu8ttuldx8npvd0n4s8s3nea: ['TEST2-44e6d7', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqmuutxsatr77az9k62tgujewhqk4vm86u0n4supr2tl: ['USH-02227f', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqmw5jkzlh0rvrfnmqqla4nhx2fz9ynd6a0n4scwutza: ['ESJ-b3959b', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqmy663u88j4ztntes3fm854c3z7t4dqn20n4s3eahw8: ['D23-2cee8a', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqn5hxyk2vd38ufal65ze7lvgc9ss8wyd60n4s9scz9q: ['HUGS-667b07', 'WBTC-05fd5b']
erd1qqqqqqqqqqqqqpgqnjtgq5ux6ghed83dd6u3vf990cak9jvg0n4s0ff49j: ['FIRE-7d8122', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqnnea45696l4zeen62pmee6kvlq60gqla0n4sj48fr2: ['SAYANU-20d3cf', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqnp4wf8nsd0pfz957fe2n8gzpksycxc790n4sqvv74v: ['HTM-23a1da', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqnpmkgxda7acuvr8f575szv6v9mhvhr9s0n4s40da6c: ['KILLYAN-0dea32', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqnpqvc9e9xrk9fvus7ekvekdyqv3smw960n4s8cj4lv: ['USH-41145c', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqnpt27ct4a2upre8t4u7k6hlv4cq6wuxx0n4s5wjrde: ['04IAN-d0d079', 'USDC-350c4e']
erd1qqqqqqqqqqqqqpgqnvth9zpftphajutce7ms0zyp5zajugtj0n4su0xve4: ['BMT-12b375', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqp5827k2qlhfd0u5pl4rjsmvgxchw4syd0n4spj3lya: ['DGT-fae159', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqp9tmaferu726d8z5plnpfaenu60ncelr0n4sllwcpd: ['RND041-92dd51', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqpetntf669af8uz9dpvngtt68fzf9578p0n4s6gvqkf: ['WEGLD-a28c59', 'TRB-4eac6b']
erd1qqqqqqqqqqqqqpgqph6g8569lnvpgd3x569hd6n6qse2aw0w0n4sms6nzv: ['WETH-bbe4ab', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqpkw7rsvjqtjpmsup9y844f6cxufj4lk40n4suuvnge: ['CRSX-0045b0', 'MEX-a659d0']
erd1qqqqqqqqqqqqqpgqpnz7eahtulzsnly8pfs3pluxgnsckv2z0n4s42x6dd: ['TWEGLD2-3fca66', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqpqnls5d3gkneffts6jamr94dnvh6xkvw0n4syt834l: ['SOOMIE-2518ff', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqpqp4jnuffdcdaha62fxe9xcfylvr9sy00n4sq99lfw: ['WTAO-f94e58', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqptajf08yxk3rznw60k0erj490unjne5q0n4s0rlz4p: ['MSA-f550d2', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqpucg68yl9x5z4rnq8nce86k7zaysqsyr0n4s9typpy: ['KEY-504768', 'USDC-350c4e']
erd1qqqqqqqqqqqqqpgqpvfd0cuspuewm9z9p6lcmp66ylqg4js30n4sj2rjwh: ['WEGLD-a28c59', 'RIDE-05b1bb']
erd1qqqqqqqqqqqqqpgqpx4j96umsm8lw5jyeaesvywdkddglcjq0n4seke737: ['SPK-81618e', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqpy5ydf9rxkq0gcn43wkrmddtn0n8z5dd0n4szsk75z: ['WEGLD-a28c59', 'XCR-010281']
erd1qqqqqqqqqqqqqpgqq2vvktvua44hdtlpvjxecns9mgfeu85t0n4sng566r: ['XTR-fc777b', 'USDC-350c4e']
erd1qqqqqqqqqqqqqpgqq3dj5al6z69mtzsn9ntpyguvpzkkaxwa0n4sfaz0gn: ['MEGAWAVE-f6c893', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqq4el9kq0r23q0zlaq93dqxj5n86a86uc0n4sfj5xwn: ['DEFRA-fd6b41', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqqcnr2jdlsjr7u08cnwn2dtwq9sjvjugt0n4s602chh: ['RND004-2e30fe', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqqdqu94vkynr544yaytaenvw3eqnq09vs0n4sysakss: ['JIT-360fd6', 'USDC-350c4e']
erd1qqqqqqqqqqqqqpgqqhcz6fntzquck7rmcdrnz89kr626kxyn0n4snt4pp9: ['OFE-ce8cc5', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqqsrnf9xcr5e6qw7nfyhwf8dnyputesqd0n4ss5mkut: ['ATC-ab9b82', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqqtgs3atuvvhpdlttmsda220ljq39le8u0n4s78axh3: ['XTEST-cc5b52', 'WEGLD-a28c59']
erd1qqqqqqqqqqqqqpgqqx6zkhd5kcmztw5g30rcftqckfsdz7970n4swtxmll: ['RUSTY-e2d45e', 'WEGLD-a28c59']
